Translation File,API Name,Error
Account-es_AR.objectTranslation,SME_CHANNEL SALES,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Reseller,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Prospect,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Partner,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Commercial Place,API name not found in translation file.
Account-es_AR.objectTranslation,Establishment of electricity generator or distributor,API name not found in translation file.
Account-es_AR.objectTranslation,Establishment of rural producer,API name not found in translation file.
Account-es_AR.objectTranslation,Establishment of transport service provider,API name not found in translation file.
Account-es_AR.objectTranslation,Industrial Establishment,API name not found in translation file.
Account-es_AR.objectTranslation,Non-Contributing,API name not found in translation file.
Account-es_AR.objectTranslation,Service of the same nature (communication),API name not found in translation file.
Account-es_AR.objectTranslation,Visa,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MasterCard,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Cabal,Value commented/not found in translation file.
Account-es_AR.objectTranslation,CreditCard,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Boleto,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Domestic,Value commented/not found in translation file.
Account-es_AR.objectTranslation,International,Value commented/not found in translation file.
Account-es_AR.objectTranslation,DHCP,Value commented/not found in translation file.
Account-es_AR.objectTranslation,Static IP,Value commented/not found in translation file.
Account-es_AR.objectTranslation,VADB,Value commented/not found in translation file.
Account-es_AR.objectTranslation,VSAT,Value commented/not found in translation file.
Account-es_AR.objectTranslation,3G / 4G,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AE,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AK,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AL,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AP,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AR,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AS,Value commented/not found in translation file.
Account-es_AR.objectTranslation,AZ,Value commented/not found in translation file.
Account-es_AR.objectTranslation,CA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,CO,Value commented/not found in translation file.
Account-es_AR.objectTranslation,CT,Value commented/not found in translation file.
Account-es_AR.objectTranslation,DC,Value commented/not found in translation file.
Account-es_AR.objectTranslation,DE,Value commented/not found in translation file.
Account-es_AR.objectTranslation,FL,Value commented/not found in translation file.
Account-es_AR.objectTranslation,GA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,GU,Value commented/not found in translation file.
Account-es_AR.objectTranslation,HI,Value commented/not found in translation file.
Account-es_AR.objectTranslation,IA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,ID,Value commented/not found in translation file.
Account-es_AR.objectTranslation,IL,Value commented/not found in translation file.
Account-es_AR.objectTranslation,IN,Value commented/not found in translation file.
Account-es_AR.objectTranslation,KS,Value commented/not found in translation file.
Account-es_AR.objectTranslation,KY,Value commented/not found in translation file.
Account-es_AR.objectTranslation,LA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MD,Value commented/not found in translation file.
Account-es_AR.objectTranslation,ME,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MI,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MN,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MO,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MS,Value commented/not found in translation file.
Account-es_AR.objectTranslation,MT,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NC,Value commented/not found in translation file.
Account-es_AR.objectTranslation,ND,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NE,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NH,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NJ,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NM,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NV,Value commented/not found in translation file.
Account-es_AR.objectTranslation,NY,Value commented/not found in translation file.
Account-es_AR.objectTranslation,OH,Value commented/not found in translation file.
Account-es_AR.objectTranslation,OK,Value commented/not found in translation file.
Account-es_AR.objectTranslation,OR,Value commented/not found in translation file.
Account-es_AR.objectTranslation,PA,Value commented/not found in translation file.
Account-es_AR.objectTranslation,PR,Value commented/not found in translation file.
Account-es_AR.objectTranslation,RI,Value commented/not found in translation file.
Account-es_AR.objectTranslation,SC,Value commented/not found in translation file.
Account-es_AR.objectTranslation,SD,Value commented/not found in translation file.
Account-es_AR.objectTranslation,TN,Value commented/not found in translation file.
Account-es_AR.objectTranslation,TX,Value commented/not found in translation file.
