Translation File,API Name,Error
Common_TableComponent__c-es_PA.objectTranslation,Last 90 days,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Last Month,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Last Quarter,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Last Week,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Last Year,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,This Month,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,This Quarter,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,This Week,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,This Year,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Today,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Yesterday,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Standard Set Controller,API name not found in translation file.
Common_TableComponent__c-es_PA.objectTranslation,Offset,API name not found in translation file.
