Translation File,API Name,Error
Common_TableComponent__c-es_PE.objectTranslation,Last 90 days,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Last Month,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Last Quarter,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Last Week,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Last Year,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,This Month,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,This Quarter,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,This Week,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,This Year,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Today,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Yesterday,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Standard Set Controller,API name not found in translation file.
Common_TableComponent__c-es_PE.objectTranslation,Offset,API name not found in translation file.
