Translation File,API Name,Error
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,Email,API name not found in translation file.
Contact-pt_BR.objectTranslation,SMS,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mail,API name not found in translation file.
Contact-pt_BR.objectTranslation,1,API name not found in translation file.
Contact-pt_BR.objectTranslation,2,API name not found in translation file.
Contact-pt_BR.objectTranslation,3,API name not found in translation file.
Contact-pt_BR.objectTranslation,4,API name not found in translation file.
Contact-pt_BR.objectTranslation,5,API name not found in translation file.
Contact-pt_BR.objectTranslation,A,API name not found in translation file.
Contact-pt_BR.objectTranslation,B,API name not found in translation file.
Contact-pt_BR.objectTranslation,C,API name not found in translation file.
Contact-pt_BR.objectTranslation,1st POC,API name not found in translation file.
Contact-pt_BR.objectTranslation,2nd POC,API name not found in translation file.
Contact-pt_BR.objectTranslation,3rd POC,API name not found in translation file.
Contact-pt_BR.objectTranslation,Administrative Support,API name not found in translation file.
Contact-pt_BR.objectTranslation,Administrator,API name not found in translation file.
Contact-pt_BR.objectTranslation,Apex IT Consultant,API name not found in translation file.
Contact-pt_BR.objectTranslation,Backup Customer Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Billing,API name not found in translation file.
Contact-pt_BR.objectTranslation,Billing Segment Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Buyer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Call Center Management,API name not found in translation file.
Contact-pt_BR.objectTranslation,Chief Executive Officer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Chief Financial Officer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Chief Information Officer/CTO,API name not found in translation file.
Contact-pt_BR.objectTranslation,Configuration Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Consultant,API name not found in translation file.
Contact-pt_BR.objectTranslation,Consumer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Customer Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Customer Senior Management,API name not found in translation file.
Contact-pt_BR.objectTranslation,Customer Support,API name not found in translation file.
Contact-pt_BR.objectTranslation,Department Director,API name not found in translation file.
Contact-pt_BR.objectTranslation,Department Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Development Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Engineering Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Executive Management,API name not found in translation file.
Contact-pt_BR.objectTranslation,Field Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Installer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Marketing Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Network Switching Segment manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,On-Call Engineer,API name not found in translation file.
Contact-pt_BR.objectTranslation,Operations Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Other,API name not found in translation file.
Contact-pt_BR.objectTranslation,Pre-Qual Admininistrator,API name not found in translation file.
Contact-pt_BR.objectTranslation,Pre-Qual Agent,API name not found in translation file.
Contact-pt_BR.objectTranslation,Pre-Qual Lead,API name not found in translation file.
Contact-pt_BR.objectTranslation,Program Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Project Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Quality Manager,API name not found in translation file.
Contact-pt_BR.objectTranslation,Remote Installation,API name not found in translation file.
Contact-pt_BR.objectTranslation,RMA Administrator,API name not found in translation file.
Contact-pt_BR.objectTranslation,Sales Representative,API name not found in translation file.
