Translation File,API Name,Error
Geography__c-es_CL.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Chubut,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Coclé,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Colón,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Cusco,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Darién,API name not found in translation file.
Geography__c-es_CL.objectTranslation,El Oro,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Entre Ríos,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Esmeraldas,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Formosa,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Galapagos,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Guainía,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Guaviare,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Guayas,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Guna Yala,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Herrera,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Huancavelica,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Huanuco,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Huila,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Ica,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Imbabura,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Jujuy,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Junin,API name not found in translation file.
Geography__c-es_CL.objectTranslation,La Araucanía,API name not found in translation file.
Geography__c-es_CL.objectTranslation,La Guajira,API name not found in translation file.
Geography__c-es_CL.objectTranslation,La Libertad,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Lambayeque,API name not found in translation file.
Geography__c-es_CL.objectTranslation,La Pampa,API name not found in translation file.
Geography__c-es_CL.objectTranslation,La Rioja,API name not found in translation file.
Geography__c-es_CL.objectTranslation,O'Higgins,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Lima,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Loja,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Loreto,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Los Lagos,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Los Rios,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Los Santos,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Madre De Dios,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Magallanes y la Antártica Chilena,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Magdalena,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Manabi,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Maule,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Mendoza,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Meta,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Metropolitana de Santiago,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Misiones,API name not found in translation file.
Geography__c-es_CL.objectTranslation,Moquegua,API name not found in translation file.
