Translation File,API Name,Error
HNS_Products__c-es_AR.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Dedicated ADSL L3,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Digital Media,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,DSL POTS,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Elearning,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Guest WiFi,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Hx VSAT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Standard Wireless,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Shared ADSL L2,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Shared ADSL L3,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,T1,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VADB POTS,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,VOIP,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR STD EXISTING CUST WITH COMMIT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR STD NEW CUST,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR STD EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR PLUS NEW CUST,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR PLUS EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR PLUS EXISTING CUST WITH COMMI,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,SRVC ASSUR PLUS NEW CUST BUY UP,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,TIME AND MATERIAL,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR BUSINESS WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR BUSINESS,API name not found in translation file.
HNS_Products__c-es_AR.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT,API name not found in translation file.
