Translation File,API Name,Error
HNS_Products__c-es_CL.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Dedicated ADSL L3,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Digital Media,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,DSL POTS,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Elearning,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Guest WiFi,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Hx VSAT,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Standard Wireless,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Shared ADSL L2,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Shared ADSL L3,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,T1,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VADB POTS,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,VOIP,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR STD EXISTING CUST WITH COMMIT,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR STD NEW CUST,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR STD EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR PLUS NEW CUST,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR PLUS EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR PLUS EXISTING CUST WITH COMMI,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,SRVC ASSUR PLUS NEW CUST BUY UP,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,TIME AND MATERIAL,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,EXPRESS REPAIR HOME WITH TERM,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_CL.objectTranslation,EXPRESS REPAIR BUSINESS WITH TERM,API name not found in translation file.
