Translation File,API Name,Error
HNS_Products__c-es_EC.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Dedicated ADSL L3,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Digital Media,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,DSL POTS,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Elearning,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Guest WiFi,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Hx VSAT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Standard Wireless,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Shared ADSL L2,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Shared ADSL L3,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,T1,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VADB POTS,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,VOIP,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR STD EXISTING CUST WITH COMMIT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR STD NEW CUST,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR STD EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR PLUS NEW CUST,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR PLUS EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR PLUS EXISTING CUST WITH COMMI,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,SRVC ASSUR PLUS NEW CUST BUY UP,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,TIME AND MATERIAL,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BASIC WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BASIC W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXPRESS REPAIR BASIC WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,2ND BUSINESS DAY ARRIVAL,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,CONTINUOUS COVERAGE,API name not found in translation file.
HNS_Products__c-es_EC.objectTranslation,EXTENDED 18 X 7 COVERAGE,API name not found in translation file.
