Translation File,API Name,Error
HSVC_Limit_Config__c-es_AR.objectTranslation,Created Date,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Start of Fiscal Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Start of Month,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Start of Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Start of Year,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,1,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,2,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,3,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,4,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,5,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,6,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,7,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,8,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,9,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,10,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,11,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,12,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,13,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,14,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,15,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,16,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,17,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,18,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,19,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,20,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,21,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,22,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,23,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,24,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,25,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,26,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,27,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,28,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,29,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,30,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,31,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Days,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Months,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Due Date Change,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Fap Purchase,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Lock Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Reactivate Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Reissue Invoice,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Service Upgrade,API name not found in translation file.
HSVC_Limit_Config__c-es_AR.objectTranslation,Exemption Expiry,API name not found in translation file.
