Translation File,API Name,Error
HSVC_Limit_Config__c-es_CO.objectTranslation,Created Date,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Start of Fiscal Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Start of Month,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Start of Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Start of Year,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,1,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,2,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,3,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,4,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,5,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,6,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,7,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,8,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,9,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,10,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,11,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,12,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,13,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,14,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,15,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,16,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,17,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,18,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,19,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,20,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,21,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,22,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,23,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,24,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,25,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,26,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,27,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,28,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,29,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,30,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,31,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Days,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Months,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Due Date Change,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Fap Purchase,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Lock Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Reactivate Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Reissue Invoice,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Service Upgrade,API name not found in translation file.
HSVC_Limit_Config__c-es_CO.objectTranslation,Exemption Expiry,API name not found in translation file.
