Translation File,API Name,Error
HSVC_Limit_Config__c-es_EC.objectTranslation,Created Date,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Start of Fiscal Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Start of Month,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Start of Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Start of Year,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,1,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,2,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,3,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,4,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,5,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,6,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,7,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,8,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,9,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,10,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,11,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,12,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,13,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,14,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,15,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,16,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,17,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,18,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,19,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,20,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,21,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,22,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,23,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,24,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,25,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,26,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,27,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,28,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,29,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,30,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,31,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Days,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Months,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Due Date Change,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Fap Purchase,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Lock Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Reactivate Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Reissue Invoice,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Service Upgrade,API name not found in translation file.
HSVC_Limit_Config__c-es_EC.objectTranslation,Exemption Expiry,API name not found in translation file.
