Translation File,API Name,Error
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Colombia,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Panama,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Peru,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Ecuador,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Chile,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,Argentina,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A01 - Reactivated account,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A02,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A03,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A04,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A05,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A06,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A07,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A08 - Billing Unlock Reactivation,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A100,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A10 - Service Account Activation,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,A152,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C01,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C02,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C03,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C04,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C05,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C06,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C07,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C08,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C09 - Canceled: 09 No Reason Given,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C10,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C11,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C12,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C13,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C14 - Canceled: Ku to Ka Upgrade On Same SAN,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C15,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C150,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C151,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C16,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C17,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C18,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C19,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C20,API name not found in translation file.
HSvc_AccTrxnReason__c-es_EC.objectTranslation,C21,API name not found in translation file.
