Translation File,API Name,Error
HSvc_AccountTransaction__c-es_AR.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_AR.objectTranslation,Failed,API name not found in translation file.
