Translation File,API Name,Error
HSvc_AccountTransaction__c-es_CO.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CO.objectTranslation,Failed,API name not found in translation file.
