Translation File,API Name,Error
HSvc_AccountTransaction__c-es_EC.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_EC.objectTranslation,Failed,API name not found in translation file.
