Translation File,API Name,Error
HSvc_AccountTransaction__c-es_PE.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PE.objectTranslation,Failed,API name not found in translation file.
