Translation File,API Name,Error
HSvc_Billing_Identity__c-es_PA.objectTranslation,Chilean Tax Identification Number (RUT),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Foreigner ID,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Peru National Identity Document (DNI),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Peru Tax Identification Number (RUC),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Tax Identification Number (NIT),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Ecuador Foreigner Id,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Peru Foreigner ID (CE),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Ecuador Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Chilean Identity Card (RUN),API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Voting Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Passport,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Driver License,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Ecuador Tax Identification Number (RUC) Legal Person,API name not found in translation file.
HSvc_Billing_Identity__c-es_PA.objectTranslation,Ecuador Tax Identification Number (RUC) Natural Person,API name not found in translation file.
