Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Corrected Connections,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Correct Routes,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Could not complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Create Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Create RMA request,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Customer Clear Obstruction,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Customer Ed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Customer to replace cables,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Customer Will Configure,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Customer Will Correct,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Dispatch,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Email customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Escalate to NMC,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Explain charges,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Explained,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Fixed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Fix in CRM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Fix in DSS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Fix in EMS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Fix in NMP,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Follow on action,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Follow-up and Monitor,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Inform Field services team,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Inform Hughes CS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CL.objectTranslation,Inform Installation team,API name not found in translation file.
