Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_CO.objectTranslation,Corrected Connections,API name not found in translation file.
