Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Corrected Connections,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Correct Routes,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Could not complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Create Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Create RMA request,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Customer Clear Obstruction,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Customer Ed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Customer to replace cables,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Customer Will Configure,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Customer Will Correct,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Dispatch,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Email customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Escalate to NMC,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Explain charges,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Explained,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Fixed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Fix in CRM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Fix in DSS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Fix in EMS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Fix in NMP,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Follow on action,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Follow-up and Monitor,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Inform Field services team,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Inform Hughes CS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Inform Installation team,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Inform PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Issue Adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Issue Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Left Message,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Load sheet,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Monitoring,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Monitor Outage,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Move Dish,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,No Answer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Not Processed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Other (Explain in Notes),API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Pending,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Pending Account holder,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Pending Cancel,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Pending Not Account holder,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process Approval,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process decommission,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Processed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process Full Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process or send email,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process Partial Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Process prequal,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Provide customer correct information,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Provided Information,API name not found in translation file.
HSvc_CaseCreationRules__c-es_EC.objectTranslation,Provide information details,API name not found in translation file.
