Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Corrected Connections,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Correct Routes,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Could not complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PA.objectTranslation,Create Order,API name not found in translation file.
