Translation File,API Name,Error
HSvc_CaseTemplate__c-es_EC.objectTranslation,Agent Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Customer Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Consult,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Case Creation,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,STOP,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,ETA,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Information,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Complaint,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Request,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Chat,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Phone - inbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Phone - outbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Self-care,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Mail,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,IVR,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,EM7,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Order,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Phone,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Self-Service,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,MobileAPP,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Sample,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Activate service,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Bad Number,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Callback,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Call Back,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Customer Education,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Customer Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Left Message,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Located,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,No Answer,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Not located,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Not Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Process,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Purchase Token(s),API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Recurring Payments,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Refer to Retention,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Repair - Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Repair Site,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Repair - Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Report Issue to Control Desk/NMC,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Request call recording,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Resolved,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Retain Customer No Credit,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Retain Customer with Credit,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Saved,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Survey Accomplish,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,System Generated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Truckroll,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Wait for New Allowance,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,3rd party Device Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_EC.objectTranslation,Access Issue,API name not found in translation file.
