Translation File,API Name,Error
HSvc_CaseTemplate__c-es_PA.objectTranslation,Agent Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Customer Note,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Consult,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Case Creation,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,STOP,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,ETA,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Information,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Complaint,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Request,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Chat,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Phone - inbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Phone - outbound,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Self-care,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Email,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Mail,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,IVR,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,EM7,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Order,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Phone,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Self-Service,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,MobileAPP,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Sample,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Activate service,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Bad Number,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Callback,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Call Back,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Customer Education,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Customer Issue,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Left Message,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Located,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,No Answer,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Not located,API name not found in translation file.
HSvc_CaseTemplate__c-es_PA.objectTranslation,Not Updated,API name not found in translation file.
