Translation File,API Name,Error
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Invoke Purge API,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Create Installation & Provisioning task,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Invoke CLO API of DSS,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Service Prequal Callout,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Credit Check Callout,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Address Validation,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Get Account Info,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Invoke Billing API,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Invoke Billing Spec API,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Activate Vouchers,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Add Bandwidth,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,BRM WS Service,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Create Existing Customer Location Order,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Download Vouchers,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,FAP,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch Account/Contact Information,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch Account Status,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch Current Usage,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch Historical Usage,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch SP Voucher Balance,API name not found in translation file.
HSvc_Integration_Logs__c-pt_BR.objectTranslation,Fetch Subscriber Details,API name not found in translation file.
