Translation File,API Name,Error
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Agent Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Customer Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Consult,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,STOP,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,ETA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Case Creation,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,TP Monterrey MOD,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,TP Monterrey Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,SDG Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,South America Control Center,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes Colombia Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes Panama Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,SDG Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,TP Monterrey MOD Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Ecuador,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Chile,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Peru,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Hughes de Corporate(HQ),API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Ent SA Frontline,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Ent SA Field Support,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Ent SA Control Desk,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Ent SA Business Analyst,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,RMA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CL.objectTranslation,Office Only,API name not found in translation file.
