Translation File,API Name,Error
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Agent Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Customer Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Consult,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,STOP,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,ETA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Case Creation,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,TP Monterrey MOD,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,TP Monterrey Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,SDG Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,South America Control Center,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes Colombia Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes Panama Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,SDG Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,TP Monterrey MOD Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Ecuador,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Chile,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Peru,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Hughes de Corporate(HQ),API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Ent SA Frontline,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Ent SA Field Support,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Ent SA Control Desk,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Ent SA Business Analyst,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,RMA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_PE.objectTranslation,Office Only,API name not found in translation file.
