Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CL.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
