Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_EC.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
