Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PA.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
