Translation File,API Name,Error
HSvc_SpecialInstructions__c-es_PE.objectTranslation,SME_CHANNEL SALES,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Reseller,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Prospect,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Partner,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Activate service,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Bad Number,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Callback,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Call Back,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Cancelled,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Considering,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Contacted,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Escalate,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Inform customer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Left Message,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Located,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,No Answer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Not located,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Not Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Process,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_SpecialInstructions__c-es_PE.objectTranslation,Purchase Token(s),API name not found in translation file.
