Translation File,API Name,Error
Location_Order__c-es_CL.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_CL.objectTranslation,Partially Verified,API name not found in translation file.
