Translation File,API Name,Error
Location_Order__c-es_CO.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_CO.objectTranslation,Partially Verified,API name not found in translation file.
