Translation File,API Name,Error
Location_Order__c-es_PA.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_PA.objectTranslation,Partially Verified,API name not found in translation file.
