Translation File,API Name,Error
Offers__c-es_AR.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_AR.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_AR.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_AR.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_AR.objectTranslation,New,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_AR.objectTranslation,All,API name not found in translation file.
Offers__c-es_AR.objectTranslation,R1,API name not found in translation file.
Offers__c-es_AR.objectTranslation,R2,API name not found in translation file.
Offers__c-es_AR.objectTranslation,R3,API name not found in translation file.
Offers__c-es_AR.objectTranslation,R4,API name not found in translation file.
Offers__c-es_AR.objectTranslation,R5,API name not found in translation file.
Offers__c-es_AR.objectTranslation,1,API name not found in translation file.
Offers__c-es_AR.objectTranslation,2,API name not found in translation file.
Offers__c-es_AR.objectTranslation,3,API name not found in translation file.
Offers__c-es_AR.objectTranslation,4,API name not found in translation file.
Offers__c-es_AR.objectTranslation,5,API name not found in translation file.
Offers__c-es_AR.objectTranslation,6,API name not found in translation file.
Offers__c-es_AR.objectTranslation,22,API name not found in translation file.
Offers__c-es_AR.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_AR.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_AR.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
