Translation File,API Name,Error
Offers__c-es_CL.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_CL.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_CL.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_CL.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_CL.objectTranslation,New,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_CL.objectTranslation,All,API name not found in translation file.
Offers__c-es_CL.objectTranslation,R1,API name not found in translation file.
Offers__c-es_CL.objectTranslation,R2,API name not found in translation file.
Offers__c-es_CL.objectTranslation,R3,API name not found in translation file.
Offers__c-es_CL.objectTranslation,R4,API name not found in translation file.
Offers__c-es_CL.objectTranslation,R5,API name not found in translation file.
Offers__c-es_CL.objectTranslation,1,API name not found in translation file.
Offers__c-es_CL.objectTranslation,2,API name not found in translation file.
Offers__c-es_CL.objectTranslation,3,API name not found in translation file.
Offers__c-es_CL.objectTranslation,4,API name not found in translation file.
Offers__c-es_CL.objectTranslation,5,API name not found in translation file.
Offers__c-es_CL.objectTranslation,6,API name not found in translation file.
Offers__c-es_CL.objectTranslation,22,API name not found in translation file.
Offers__c-es_CL.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_CL.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_CL.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
