Translation File,API Name,Error
Offers__c-es_EC.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_EC.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_EC.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_EC.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_EC.objectTranslation,New,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_EC.objectTranslation,All,API name not found in translation file.
Offers__c-es_EC.objectTranslation,R1,API name not found in translation file.
Offers__c-es_EC.objectTranslation,R2,API name not found in translation file.
Offers__c-es_EC.objectTranslation,R3,API name not found in translation file.
Offers__c-es_EC.objectTranslation,R4,API name not found in translation file.
Offers__c-es_EC.objectTranslation,R5,API name not found in translation file.
Offers__c-es_EC.objectTranslation,1,API name not found in translation file.
Offers__c-es_EC.objectTranslation,2,API name not found in translation file.
Offers__c-es_EC.objectTranslation,3,API name not found in translation file.
Offers__c-es_EC.objectTranslation,4,API name not found in translation file.
Offers__c-es_EC.objectTranslation,5,API name not found in translation file.
Offers__c-es_EC.objectTranslation,6,API name not found in translation file.
Offers__c-es_EC.objectTranslation,22,API name not found in translation file.
Offers__c-es_EC.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_EC.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_EC.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
