Translation File,API Name,Error
Order_Offer__c-es_AR.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_AR.objectTranslation,SME,API name not found in translation file.
