Translation File,API Name,Error
Order_Offer__c-es_CL.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_CL.objectTranslation,SME,API name not found in translation file.
