Translation File,API Name,Error
Order_Offer__c-es_EC.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_EC.objectTranslation,SME,API name not found in translation file.
