Translation File,API Name,Error
Order_Offer__c-es_PE.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_PE.objectTranslation,SME,API name not found in translation file.
