Translation File,API Name,Error
Questionnaire_for_Offers__c-es_AR.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_AR.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
