Translation File,API Name,Error
Questionnaire_for_Offers__c-es_PA.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_PA.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
