Translation File,API Name,Error
Questionnaire_for_Offers__c-es_PE.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_PE.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
