Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_PA.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PA.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
