Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_PE.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_PE.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
