Translation File,API Name,Error
Account-es_PA.objectTranslation,AccountSource,API name not found in translation file.
Account-es_PA.objectTranslation,Account_SAN__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Account_Type__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Area_of_Operation__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_ABA_Routing_Number__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Account_Number__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Address1__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Address2__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Branch__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_City__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Country__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Name__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_State__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Bank_Zip__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Barcode__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Beneficiary_Name_on_Bank_Account__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Billing_Address_County__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Billing_Address_full__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Billing_Barcode__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,CNPJ__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,CPF__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,CRM_PS_Company_BO_ID__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Call_Center__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Communication_Channel__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Communication_Via__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Company_Type__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Contract_Status__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,County__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Credit_Verification_Status__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Customer_Location_ID__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,DBA_Name__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Date_Added_to_Vantive__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Date_Established__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Date_Incorporated__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Display_App_Usage__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Distributor_Account__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Distributor__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Extra_Account_Phone_Info__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Extra_Fax_Info__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,HSvc_BusinessModel__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,HughesNet_Relationship__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Hughes_Store_Order_Shipped__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Location_Status__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Locations_Parent_HNS_Company_ID_del__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,New_Construction__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,PartnerId__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Partner_Type__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Payment_Method__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Primary_Contact__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Record_Type_Name__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,SAP_Sold_To__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,SP_Price_Book__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Sales_Org__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Satisfaction_Status__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Shipping_Address_full__c,Value commented/not found in translation file.
Account-es_PA.objectTranslation,Type,API name not found in translation file.
