Translation File,API Name,Error
Asset-es_CL.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Gateway_Name__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,LAN2_IP_Address__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,LAN2_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Latest_Commission_Date__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Latitude__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Longitude__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,MAC_Address__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Management_IP_Address__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,Modem_Number__c,Value commented/not found in translation file.
Asset-es_CL.objectTranslation,NAD_Business_Group__c,Value commented/not found in translation file.
