Translation File,API Name,Error
Asset-es_PA.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_PA.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
