Translation File,API Name,Error
Asset-pt_BR.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Adapter_Model__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Beam_Id__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,FSO_ID__c,Value commented/not found in translation file.
Asset-pt_BR.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
