Translation File,API Name,Error
Case-es_PE.objectTranslation,Case_Internal__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Category_of_Red_Flag__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Documents_for_Approval__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,For_Training_Only__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvcRH_Area__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvcRH_Detail__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvc_ActualTaskDuration__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvc_ChangeWindowManager__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvc_ImpactDurationForecast__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,HSvc_TestBedName__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_ImpactDescription__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationCity__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationCountryCode__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationCountry__c,API name not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationPostalCode__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationStateCode__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationState__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_RelocationStreet__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Hsvc_Summary__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Lead_Account_Name__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Lead_Contact_Name__c,Value commented/not found in translation file.
Case-es_PE.objectTranslation,Reason,API name not found in translation file.
Case-es_PE.objectTranslation,Type,API name not found in translation file.
