Translation File,API Name,Error
Contact-es_CO.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Description,API name not found in translation file.
Contact-es_CO.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_CO.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_CO.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_CO.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_CO.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
