Translation File,API Name,Error
Contact-es_PA.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Description,API name not found in translation file.
Contact-es_PA.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_PA.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_PA.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_PA.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_PA.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
