Translation File,API Name,Error
AssetStatus-es_EC.standardValueSetTranslation,Purchased,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Shipped,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Installed,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Registered,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Obsolete,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Not Yet Commissioned,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Terminal Activated,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,De-registered,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Pending Recovery,Value commented/not found in translation file.
AssetStatus-es_EC.standardValueSetTranslation,Recovered,Value commented/not found in translation file.
