Translation File,API Name,Error
AssetStatus-es_PA.standardValueSetTranslation,Purchased,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Shipped,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Installed,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Registered,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Obsolete,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Not Yet Commissioned,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Terminal Activated,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,De-registered,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Pending Recovery,Value commented/not found in translation file.
AssetStatus-es_PA.standardValueSetTranslation,Recovered,Value commented/not found in translation file.
