Translation File,API Name,Error
CaseStatus-es_PA.standardValueSetTranslation,Assigned,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Awaiting SPR Code Release,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Build Out Released,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Complete,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Complete—Impact,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Complete—No issues,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Complete—Pending Quality Assurance,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Director Approved and Scheduled,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,EMRB Approved,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,ENG - SPR Active,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Escalated to SIC,API name not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Failed QA,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Hold—Awaiting Information,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Implementation Phase,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Installed,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Investigation Closed,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Investigation Open,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,MRB Approved,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open Escalated,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Escalated Field Terr Supp,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Escalated to Call Center,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Escalated to NAP Provisioning,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Escalated to NOC,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Escalated to PM,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Esc NE review,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Holding for Parts,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - In Progress,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - On Site,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - PAM Case,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Pending NE,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Pending Tech Review,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Provisioning Processing,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open PSR,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Special Escalation,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Suspension,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open Unassigned,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open - Web Case,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Open Work in Progress,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Cancel,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Construction,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending Customer Confirmation,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Customer Contact,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending Follow On Case,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Hughes Closure,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Install,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - MOD,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Monitoring,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - NAP,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending- OA,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending Post Install Provisioning,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Provisioning Group,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending Re-Activation,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Service Provider Closure,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Site Access,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pending - Vendor Meet,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Pend- NE Trblshoot,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Project Plan,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,Qualified,Value commented/not found in translation file.
CaseStatus-es_PA.standardValueSetTranslation,SPR Opened,Value commented/not found in translation file.
