Translation File,API Name,Error
CaseType-es_CO.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_CO.standardValueSetTranslation,Forms,Value commented/not found in translation file.
