Translation File,API Name,Error
CaseType-es_PE.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_PE.standardValueSetTranslation,Forms,Value commented/not found in translation file.
