Translation File,API Name,Error
en_US.translation,AECOB_FromCustomerProgram_DSSProgram,Value commented/not found in translation file.
en_US.translation,About_HughesNetNIKHIL,API name not found in translation file.
en_US.translation,Account_Franchise_Rt1,Value commented/not found in translation file.
en_US.translation,Account_Verifier_Digits_Changed_API_NAME,API name not found in translation file.
en_US.translation,Activate_Message_Code,Value commented/not found in translation file.
en_US.translation,Active_Transaction_Code,Value commented/not found in translation file.
en_US.translation,Activity,Value commented/not found in translation file.
en_US.translation,Activity_Type,Value commented/not found in translation file.
en_US.translation,AdapterModel,Value commented/not found in translation file.
en_US.translation,Adapter_Type,Value commented/not found in translation file.
en_US.translation,Address_Already_added_in_Blocked_Locations,Value commented/not found in translation file.
en_US.translation,Agency_Number,Value commented/not found in translation file.
en_US.translation,Agency_Verifier_Digits,Value commented/not found in translation file.
en_US.translation,Agent_Note,Value commented/not found in translation file.
en_US.translation,Alternate_Phone_Number,Value commented/not found in translation file.
en_US.translation,AnErrorHasOcurred,Value commented/not found in translation file.
en_US.translation,Automatic_Authorized_debit_D_A_C_C,Value commented/not found in translation file.
en_US.translation,BOM_LIST,Value commented/not found in translation file.
en_US.translation,BRAZIL_Partner_Page1_Text1,Value commented/not found in translation file.
en_US.translation,Back,Value commented/not found in translation file.
en_US.translation,Bank_Account_Number,Value commented/not found in translation file.
en_US.translation,Bank_Code,Value commented/not found in translation file.
en_US.translation,Bank_Name,Value commented/not found in translation file.
en_US.translation,Basic_browsing_photo_sharing_and_social_networking,Value commented/not found in translation file.
en_US.translation,BillingStatus,Value commented/not found in translation file.
en_US.translation,Billing_Address,Value commented/not found in translation file.
en_US.translation,Billing_Country_Code,API name not found in translation file.
en_US.translation,Billing_District,API name not found in translation file.
en_US.translation,Billing_Due_Date,Value commented/not found in translation file.
en_US.translation,Boleto,Value commented/not found in translation file.
en_US.translation,Boleto_PDF_link,Value commented/not found in translation file.
en_US.translation,BonusBytes_DisplayName,Value commented/not found in translation file.
en_US.translation,Bonus_bites_time,Value commented/not found in translation file.
en_US.translation,OrderMgmnt_ErrorDescription,API name not found in translation file.
en_US.translation,OrderMgmnt_TargetURL,API name not found in translation file.
en_US.translation,OrderMgmnt_IntegrationLogLink,API name not found in translation file.
en_US.translation,OrderMgmnt_Operation,API name not found in translation file.
en_US.translation,OrderMgmnt_RequestMessage,API name not found in translation file.
en_US.translation,OrderMgmnt_ResponseMessage,API name not found in translation file.
en_US.translation,Brazi_Order_Now,Value commented/not found in translation file.
en_US.translation,Brazi_Time_Out,Value commented/not found in translation file.
