Translation File,API Name,Error
es_AR.translation,AECOB_FromCustomerProgram_DSSProgram,Value commented/not found in translation file.
es_AR.translation,About_HughesNetNIKHIL,API name not found in translation file.
es_AR.translation,Account_Franchise_Rt1,Value commented/not found in translation file.
es_AR.translation,Account_Verifier_Digits_Changed_API_NAME,API name not found in translation file.
es_AR.translation,Activate_Message_Code,Value commented/not found in translation file.
es_AR.translation,Active_Transaction_Code,Value commented/not found in translation file.
es_AR.translation,AdapterModel,Value commented/not found in translation file.
es_AR.translation,Adapter_Type,Value commented/not found in translation file.
es_AR.translation,Address_Already_added_in_Blocked_Locations,Value commented/not found in translation file.
es_AR.translation,AnErrorHasOcurred,Value commented/not found in translation file.
es_AR.translation,Automatic_Authorized_debit_D_A_C_C,Value commented/not found in translation file.
es_AR.translation,BOM_LIST,Value commented/not found in translation file.
es_AR.translation,BRAZIL_Partner_Page1_Text1,Value commented/not found in translation file.
es_AR.translation,BillingStatus,Value commented/not found in translation file.
es_AR.translation,Billing_Due_Date,Value commented/not found in translation file.
es_AR.translation,Boleto,Value commented/not found in translation file.
es_AR.translation,Boleto_PDF_link,Value commented/not found in translation file.
es_AR.translation,BonusBytes_DisplayName,Value commented/not found in translation file.
es_AR.translation,Bonus_bites_time,Value commented/not found in translation file.
es_AR.translation,Brazi_Order_Now,Value commented/not found in translation file.
es_AR.translation,Brazi_Time_Out,Value commented/not found in translation file.
es_AR.translation,Brazi_zip_select,Value commented/not found in translation file.
es_AR.translation,Brazil,Value commented/not found in translation file.
es_AR.translation,BrazilPowFree,Value commented/not found in translation file.
es_AR.translation,BrazilPowTBD,Value commented/not found in translation file.
es_AR.translation,Brazil_10_Raz_es,Value commented/not found in translation file.
es_AR.translation,Brazil_24x7_technical_support,Value commented/not found in translation file.
es_AR.translation,Brazil_A_credit_check_is_required_to_determine_if_you_qualify_for_your_selected,Value commented/not found in translation file.
es_AR.translation,Brazil_About_HughesNet,Value commented/not found in translation file.
es_AR.translation,Brazil_Accession_Rate,Value commented/not found in translation file.
es_AR.translation,Brazil_Accession_Rate_1,Value commented/not found in translation file.
es_AR.translation,Brazil_Accession_Rate_2,Value commented/not found in translation file.
es_AR.translation,Brazil_Accession_without_permanence_of_commitment,Value commented/not found in translation file.
es_AR.translation,Brazil_AccountVerifierDigitsDigitOnly,Value commented/not found in translation file.
es_AR.translation,Brazil_AccountVerifierDigitsEmpty,Value commented/not found in translation file.
es_AR.translation,Brazil_AccountVerifierDigitsMustBe2,Value commented/not found in translation file.
es_AR.translation,Brazil_ActivityEmpty,Value commented/not found in translation file.
es_AR.translation,Brazil_AdapterID,Value commented/not found in translation file.
es_AR.translation,Brazil_Adapter_Model,Value commented/not found in translation file.
es_AR.translation,Brazil_Adapter_Type,Value commented/not found in translation file.
es_AR.translation,Brazil_Add_On_Upfront_fee,Value commented/not found in translation file.
es_AR.translation,Brazil_Add_on_Commitments,Value commented/not found in translation file.
es_AR.translation,Brazil_AddressSavedMessage,Value commented/not found in translation file.
