Translation File,API Name,Error
Case-es_CO.objectTranslation,Activate service,API name not found in translation file.
Case-es_CO.objectTranslation,Adjustments not applied,API name not found in translation file.
Case-es_CO.objectTranslation,Apply adjustments,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Number,API name not found in translation file.
Case-es_CO.objectTranslation,Callback,API name not found in translation file.
Case-es_CO.objectTranslation,Call Back,API name not found in translation file.
Case-es_CO.objectTranslation,Cancelled,API name not found in translation file.
Case-es_CO.objectTranslation,Considering,API name not found in translation file.
Case-es_CO.objectTranslation,Contacted,API name not found in translation file.
Case-es_CO.objectTranslation,Customer Education,API name not found in translation file.
Case-es_CO.objectTranslation,Customer Issue,API name not found in translation file.
Case-es_CO.objectTranslation,De-install Equipment,API name not found in translation file.
Case-es_CO.objectTranslation,Dispatch Tech,API name not found in translation file.
Case-es_CO.objectTranslation,Educated Customer,API name not found in translation file.
Case-es_CO.objectTranslation,Escalate,API name not found in translation file.
Case-es_CO.objectTranslation,Escalated,API name not found in translation file.
Case-es_CO.objectTranslation,Escalated to Hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Escalated to SIC,API name not found in translation file.
Case-es_CO.objectTranslation,Escalated to Supervisor,API name not found in translation file.
Case-es_CO.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
Case-es_CO.objectTranslation,Inform customer,API name not found in translation file.
Case-es_CO.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Install - Escalate,API name not found in translation file.
Case-es_CO.objectTranslation,Install - Updated,API name not found in translation file.
Case-es_CO.objectTranslation,Left Message,API name not found in translation file.
Case-es_CO.objectTranslation,Located,API name not found in translation file.
Case-es_CO.objectTranslation,No Answer,API name not found in translation file.
Case-es_CO.objectTranslation,Not located,API name not found in translation file.
Case-es_CO.objectTranslation,Not Updated,API name not found in translation file.
Case-es_CO.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
Case-es_CO.objectTranslation,Process,API name not found in translation file.
Case-es_CO.objectTranslation,Process Cancellation,API name not found in translation file.
Case-es_CO.objectTranslation,Purchase Token(s),API name not found in translation file.
Case-es_CO.objectTranslation,Recurring Payments,API name not found in translation file.
Case-es_CO.objectTranslation,Refer to Retention,API name not found in translation file.
Case-es_CO.objectTranslation,Repair - Escalate,API name not found in translation file.
Case-es_CO.objectTranslation,Repair Site,API name not found in translation file.
Case-es_CO.objectTranslation,Repair - Updated,API name not found in translation file.
Case-es_CO.objectTranslation,Report Issue to Control Desk/NMC,API name not found in translation file.
Case-es_CO.objectTranslation,Request call recording,API name not found in translation file.
Case-es_CO.objectTranslation,Resolved,API name not found in translation file.
Case-es_CO.objectTranslation,Retain Customer No Credit,API name not found in translation file.
Case-es_CO.objectTranslation,Retain Customer with Credit,API name not found in translation file.
Case-es_CO.objectTranslation,Saved,API name not found in translation file.
Case-es_CO.objectTranslation,Survey Accomplish,API name not found in translation file.
Case-es_CO.objectTranslation,System Generated,API name not found in translation file.
Case-es_CO.objectTranslation,Truckroll,API name not found in translation file.
Case-es_CO.objectTranslation,Updated,API name not found in translation file.
Case-es_CO.objectTranslation,Wait for New Allowance,API name not found in translation file.
Case-es_CO.objectTranslation,Agent Note,API name not found in translation file.
Case-es_CO.objectTranslation,Customer Note,API name not found in translation file.
Case-es_CO.objectTranslation,Consult,API name not found in translation file.
Case-es_CO.objectTranslation,Escalation by Customer,API name not found in translation file.
Case-es_CO.objectTranslation,Customer Escalation Response,API name not found in translation file.
Case-es_CO.objectTranslation,Inbound Email,API name not found in translation file.
Case-es_CO.objectTranslation,Outbound Email,API name not found in translation file.
Case-es_CO.objectTranslation,Case Creation,API name not found in translation file.
Case-es_CO.objectTranslation,ARRIVAL,API name not found in translation file.
Case-es_CO.objectTranslation,CLOSURE,API name not found in translation file.
Case-es_CO.objectTranslation,ETA,API name not found in translation file.
Case-es_CO.objectTranslation,STOP,API name not found in translation file.
Case-es_CO.objectTranslation,Information,API name not found in translation file.
Case-es_CO.objectTranslation,Complaint,API name not found in translation file.
Case-es_CO.objectTranslation,Request,API name not found in translation file.
Case-es_CO.objectTranslation,3rd party Device Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Access Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Account Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Account Name (Misspelling),API name not found in translation file.
Case-es_CO.objectTranslation,Account Ownership Change,API name not found in translation file.
Case-es_CO.objectTranslation,Activate new service,API name not found in translation file.
Case-es_CO.objectTranslation,Agent Callback,API name not found in translation file.
Case-es_CO.objectTranslation,Amount Due,API name not found in translation file.
Case-es_CO.objectTranslation,API - FAP Token,API name not found in translation file.
Case-es_CO.objectTranslation,API - Order,API name not found in translation file.
Case-es_CO.objectTranslation,Application access issue,API name not found in translation file.
Case-es_CO.objectTranslation,Application Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Application Issue - Customer,API name not found in translation file.
Case-es_CO.objectTranslation,Application Issue - hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Application Questions,API name not found in translation file.
Case-es_CO.objectTranslation,Application Slow response times,API name not found in translation file.
Case-es_CO.objectTranslation,Application System Error,API name not found in translation file.
Case-es_CO.objectTranslation,Authorized Contact,API name not found in translation file.
Case-es_CO.objectTranslation,Automated Call - Activation,API name not found in translation file.
Case-es_CO.objectTranslation,Available schedule,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Cables/Wiring,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Modem,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Radio,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Treatment - CSR,API name not found in translation file.
Case-es_CO.objectTranslation,Bad Treatment - Technical,API name not found in translation file.
Case-es_CO.objectTranslation,Bad website,API name not found in translation file.
Case-es_CO.objectTranslation,Bad website/url,API name not found in translation file.
Case-es_CO.objectTranslation,Bank Strike,API name not found in translation file.
Case-es_CO.objectTranslation,Bill Date,API name not found in translation file.
Case-es_CO.objectTranslation,Billing Address,API name not found in translation file.
Case-es_CO.objectTranslation,Billing file download issue,API name not found in translation file.
Case-es_CO.objectTranslation,Billing Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Bill Notification,API name not found in translation file.
Case-es_CO.objectTranslation,Boleto to credit card,API name not found in translation file.
Case-es_CO.objectTranslation,Boleto to debit,API name not found in translation file.
Case-es_CO.objectTranslation,Bonus Zone,API name not found in translation file.
Case-es_CO.objectTranslation,Response Time,API name not found in translation file.
Case-es_CO.objectTranslation,Appeal/Escalation Status,API name not found in translation file.
Case-es_CO.objectTranslation,Browser Message,API name not found in translation file.
Case-es_CO.objectTranslation,Business System Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Cabling/connectors/materials,API name not found in translation file.
Case-es_CO.objectTranslation,Cancellation Fee,API name not found in translation file.
Case-es_CO.objectTranslation,Cancellation Policy,API name not found in translation file.
Case-es_CO.objectTranslation,Capture Business Info,API name not found in translation file.
Case-es_CO.objectTranslation,Changed Mind,API name not found in translation file.
Case-es_CO.objectTranslation,Change due date,API name not found in translation file.
Case-es_CO.objectTranslation,Change of Mind,API name not found in translation file.
Case-es_CO.objectTranslation,Chose Another Satellite ISP,API name not found in translation file.
Case-es_CO.objectTranslation,Chose Another Terrestrial ISP,API name not found in translation file.
Case-es_CO.objectTranslation,Collection,API name not found in translation file.
Case-es_CO.objectTranslation,"Collection clarification (Adjustment, tax)",API name not found in translation file.
Case-es_CO.objectTranslation,Commercial Location,API name not found in translation file.
Case-es_CO.objectTranslation,Commitment/Contract,API name not found in translation file.
Case-es_CO.objectTranslation,Commitment Status,API name not found in translation file.
Case-es_CO.objectTranslation,competition between companies - Cost,API name not found in translation file.
Case-es_CO.objectTranslation,competition between companies - FAP,API name not found in translation file.
Case-es_CO.objectTranslation,competition between companies - Speed,API name not found in translation file.
Case-es_CO.objectTranslation,Configuration Issue,API name not found in translation file.
Case-es_CO.objectTranslation,Confirmed/Known Issue - Hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Confirmed Outage - Hughes,API name not found in translation file.
Case-es_CO.objectTranslation,Credit/Refund,API name not found in translation file.
Case-es_CO.objectTranslation,Credit card to boleto,API name not found in translation file.
Case-es_CO.objectTranslation,Credit card to debit,API name not found in translation file.
Case-es_CO.objectTranslation,Credit Request,API name not found in translation file.
Case-es_CO.objectTranslation,CSR Impolite,API name not found in translation file.
Case-es_CO.objectTranslation,Customer,API name not found in translation file.
Case-es_CO.objectTranslation,Customer device issue,API name not found in translation file.
Case-es_CO.objectTranslation,Customer education,API name not found in translation file.
