Translation File,API Name,Error
Common_TableComponent__c-es_CL.objectTranslation,Last 90 days,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Last Month,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Last Quarter,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Last Week,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Last Year,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,This Month,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,This Quarter,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,This Week,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,This Year,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Today,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Yesterday,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Standard Set Controller,API name not found in translation file.
Common_TableComponent__c-es_CL.objectTranslation,Offset,API name not found in translation file.
