Translation File,API Name,Error
Common_TableComponent__c-es_CO.objectTranslation,Last 90 days,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Last Month,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Last Quarter,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Last Week,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Last Year,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,This Month,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,This Quarter,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,This Week,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,This Year,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Today,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Yesterday,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Standard Set Controller,API name not found in translation file.
Common_TableComponent__c-es_CO.objectTranslation,Offset,API name not found in translation file.
