Translation File,API Name,Error
Common_TableComponent__c-es_EC.objectTranslation,Last 90 days,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Last Month,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Last Quarter,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Last Week,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Last Year,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,This Month,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,This Quarter,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,This Week,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,This Year,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Today,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Yesterday,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Standard Set Controller,API name not found in translation file.
Common_TableComponent__c-es_EC.objectTranslation,Offset,API name not found in translation file.
