Translation File,API Name,Error
Geography__c-es_AR.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Chubut,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Coclé,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Colón,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Cusco,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Darién,API name not found in translation file.
Geography__c-es_AR.objectTranslation,El Oro,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Entre Ríos,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Esmeraldas,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Formosa,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Galapagos,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Guainía,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Guaviare,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Guayas,API name not found in translation file.
Geography__c-es_AR.objectTranslation,Guna Yala,API name not found in translation file.
